raceId,driverId,stop,lap,milliseconds_pit,positionOrder,points,laps
995,822,1,36,23775,2,18.0,68
995,830,1,16,23137,3,15.0,68
995,817,1,17,23279,4,12.0,68
995,1,1,16,23335,5,10.0,68
995,8,1,32,23645,6,8.0,68
995,807,1,13,24521,7,6.0,67
995,832,1,14,24416,8,4.0,67
995,839,1,11,25353,9,2.0,67
995,844,1,19,23666,10,1.0,67
995,842,1,23,24107,11,0.0,67
995,154,1,48,24400,12,0.0,67
995,825,1,22,24008,13,0.0,67
995,815,1,9,24086,14,0.0,67
995,815,2,44,23718,14,0.0,67
995,828,1,1,23529,15,0.0,66
995,838,1,1,41008,16,0.0,66
995,838,2,48,23537,16,0.0,66
995,845,1,26,23531,17,0.0,66
995,4,1,18,23099,18,0.0,40
996,1,1,33,24310,1,25.0,53
996,830,1,25,24395,2,18.0,53
996,8,1,34,24289,3,15.0,53
996,817,1,28,24309,4,12.0,53
996,20,1,1,32612,5,10.0,53
996,20,2,40,31029,5,10.0,53
996,825,1,28,25419,6,8.0,53
996,822,1,1,27955,7,6.0,53
996,822,2,39,30666,7,6.0,53
996,832,1,26,25423,8,4.0,53
996,807,1,37,25016,9,2.0,53
996,844,1,31,25026,10,1.0,53
996,154,1,34,29996,11,0.0,52
996,838,1,40,24399,12,0.0,52
996,828,1,35,24295,13,0.0,52
996,843,1,38,24297,14,0.0,52
996,845,1,1,26273,15,0.0,52
996,4,1,1,25789,16,0.0,50
996,4,2,46,24788,16,0.0,50
996,840,1,1,26576,17,0.0,48
997,830,1,15,21214,1,25.0,71
997,8,1,15,21552,2,18.0,71
997,20,1,15,23912,3,15.0,71
997,154,1,15,22121,4,12.0,70
997,825,1,28,22138,5,10.0,70
997,839,1,15,22527,6,8.0,70
997,815,1,27,22863,7,6.0,70
997,4,1,15,21588,8,4.0,70
997,844,1,15,21364,9,2.0,70
997,828,1,45,21519,10,1.0,70
997,842,1,15,22011,11,0.0,70
997,832,1,15,23257,12,0.0,70
997,832,2,34,26335,12,0.0,70
997,845,1,24,23048,13,0.0,69
997,845,2,60,24884,13,0.0,69
997,840,1,15,22181,14,0.0,69
997,840,2,65,22299,14,0.0,69
997,838,1,1,46557,15,0.0,65
997,838,2,40,22526,15,0.0,65
997,1,1,25,21245,16,0.0,62
997,1,2,52,20980,16,0.0,62
997,817,1,15,21950,18,0.0,53
997,817,2,38,21259,18,0.0,53
998,20,1,20,28677,1,25.0,52
998,20,2,33,28174,1,25.0,52
998,1,1,25,28982,2,18.0,52
998,8,1,13,38573,3,15.0,52
998,8,2,33,28985,3,15.0,52
998,822,1,21,27894,4,12.0,52
998,817,1,18,28194,5,10.0,52
998,817,2,30,28001,5,10.0,52
998,807,1,20,28719,6,8.0,52
998,839,1,19,29410,7,6.0,52
998,4,1,13,28669,8,4.0,52
998,4,2,32,28085,8,4.0,52
998,825,1,25,28450,9,2.0,52
998,815,1,13,28651,10,1.0,52
998,815,2,32,28836,10,1.0,52
998,838,1,21,28284,11,0.0,52
998,838,2,33,28658,11,0.0,52
998,840,1,30,27774,12,0.0,52
998,842,1,20,28676,13,0.0,52
998,842,2,32,29766,13,0.0,52
998,845,1,21,28224,14,0.0,52
998,830,1,17,28458,15,0.0,46
998,830,2,33,28000,15,0.0,46
998,154,1,26,29254,16,0.0,37
998,832,1,17,29074,17,0.0,37
998,832,2,32,28078,17,0.0,37
998,828,1,24,28207,18,0.0,31
998,844,1,18,27865,19,0.0,18
999,1,1,42,18978,1,25.0,67
999,822,1,28,19188,2,18.0,67
999,822,2,52,33279,2,18.0,67
999,8,1,14,19647,3,15.0,67
999,8,2,53,19988,3,15.0,67
999,830,1,29,19742,4,12.0,67
999,830,2,46,19297,4,12.0,67
999,830,3,48,19087,4,12.0,67
999,807,1,18,19584,5,10.0,67
999,807,2,51,20752,5,10.0,67
999,807,3,55,20812,5,10.0,67
999,154,1,21,20198,6,8.0,67
999,154,2,51,22738,6,8.0,67
999,154,3,55,19752,6,8.0,67
999,815,1,22,25130,7,6.0,67
999,839,1,25,19570,8,4.0,67
999,828,1,38,18840,9,2.0,67
999,843,1,28,19309,10,1.0,67
999,843,2,52,19985,10,1.0,67
999,825,1,20,19818,11,0.0,67
999,825,2,51,34742,11,0.0,67
999,825,3,55,27736,11,0.0,67
999,832,1,20,20160,12,0.0,67
999,832,2,50,19637,12,0.0,67
999,832,3,56,20530,12,0.0,67
999,838,1,29,19778,13,0.0,67
999,838,2,52,19621,13,0.0,67
999,842,1,43,19806,14,0.0,66
999,842,2,46,19512,14,0.0,66
999,844,1,20,19267,15,0.0,66
999,844,2,43,21200,15,0.0,66
999,844,3,46,20653,15,0.0,66
999,4,1,31,18956,16,0.0,65
999,4,2,43,21119,16,0.0,65
999,4,3,47,20927,16,0.0,65
999,840,1,27,19476,17,0.0,53
999,840,2,50,19526,17,0.0,53
999,20,1,25,18657,18,0.0,51
999,845,1,28,24173,19,0.0,51
999,845,2,51,21711,19,0.0,51
1000,1,1,25,21480,1,25.0,70
1000,20,1,39,23111,2,18.0,70
1000,8,1,14,24471,3,15.0,70
1000,8,2,38,21829,3,15.0,70
1000,817,1,44,21364,4,12.0,70
1000,822,1,15,21337,5,10.0,70
1000,842,1,32,21684,6,8.0,70
1000,825,1,31,25126,7,6.0,69
1000,4,1,39,21795,8,4.0,69
1000,832,1,25,21914,9,2.0,69
1000,154,1,29,21733,10,1.0,69
1000,843,1,24,21831,11,0.0,69
1000,807,1,23,21966,12,0.0,69
1000,807,2,50,22650,12,0.0,69
1000,839,1,39,22258,13,0.0,69
1000,815,1,22,22561,14,0.0,69
1000,828,1,6,22640,15,0.0,68
1000,845,1,31,21509,16,0.0,68
1000,840,1,47,21291,17,0.0,68
1000,838,1,40,21732,18,0.0,49
1001,20,1,1,19582,1,25.0,44
1001,20,2,22,22253,1,25.0,44
1001,1,1,1,19372,2,18.0,44
1001,1,2,21,22375,2,18.0,44
1001,830,1,1,19942,3,15.0,44
1001,830,2,26,22341,3,15.0,44
1001,822,1,1,20349,4,12.0,44
1001,822,2,2,30519,4,12.0,44
1001,822,3,29,22399,4,12.0,44
1001,815,1,1,19667,5,10.0,44
1001,815,2,25,23157,5,10.0,44
1001,839,1,1,19582,6,8.0,44
1001,839,2,24,23225,6,8.0,44
1001,154,1,1,20280,7,6.0,44
1001,154,2,23,23248,7,6.0,44
1001,825,1,1,20021,8,4.0,44
1001,825,2,26,24304,8,4.0,44
1001,842,1,1,20136,9,2.0,44
1001,842,2,25,22953,9,2.0,44
1001,828,1,1,19711,10,1.0,43
1001,828,2,26,22558,10,1.0,43
1001,832,1,1,18509,11,0.0,43
1001,832,2,22,23857,11,0.0,43
1001,845,1,1,19791,12,0.0,43
1001,845,2,24,22339,12,0.0,43
1001,840,1,1,19732,13,0.0,43
1001,840,2,23,22901,13,0.0,43
1001,843,1,1,18084,14,0.0,43
1001,843,2,31,29316,14,0.0,43
1001,838,1,1,19847,15,0.0,43
1001,838,2,2,22706,15,0.0,43
1001,838,3,28,23389,15,0.0,43
1001,8,1,1,26367,17,0.0,8
1001,8,2,7,35451,17,0.0,8
1002,1,1,28,23728,1,25.0,53
1002,8,1,20,23862,2,18.0,53
1002,822,1,36,23763,3,15.0,53
1002,20,1,1,32219,4,12.0,53
1002,20,2,29,24301,4,12.0,53
1002,830,1,26,24003,5,10.0,53
1002,839,1,38,24827,6,8.0,53
1002,815,1,39,25655,7,6.0,53
1002,832,1,39,25774,8,4.0,53
1002,840,1,35,26440,9,2.0,52
1002,845,1,37,25245,10,1.0,52
1002,844,1,34,24084,11,0.0,52
1002,838,1,24,24094,12,0.0,52
1002,807,1,1,25234,13,0.0,52
1002,807,2,41,24456,13,0.0,52
1002,842,1,34,27792,14,0.0,52
1002,828,1,1,29992,15,0.0,52
1002,828,2,42,25575,15,0.0,52
1002,825,1,4,38563,16,0.0,52
1002,817,1,1,24805,17,0.0,23
1002,154,1,23,24779,20,0.0,53
1003,1,1,15,28946,1,25.0,61
1003,830,1,17,29681,2,18.0,61
1003,20,1,14,28722,3,15.0,61
1003,822,1,16,28542,4,12.0,61
1003,8,1,22,29513,5,10.0,61
1003,817,1,27,28779,6,8.0,61
1003,4,1,38,29922,7,6.0,61
1003,832,1,37,30242,8,4.0,60
1003,844,1,38,29310,9,2.0,60
1003,807,1,15,31183,10,1.0,60
1003,828,1,44,28860,11,0.0,60
1003,838,1,43,30234,12,0.0,60
1003,842,1,26,28931,13,0.0,60
1003,840,1,40,28767,14,0.0,60
1003,154,1,16,29517,15,0.0,60
1003,815,1,17,29978,16,0.0,60
1003,815,2,33,30561,16,0.0,60
1003,815,3,39,24340,16,0.0,60
1003,843,1,14,29912,17,0.0,60
1003,843,2,36,29464,17,0.0,60
1003,825,1,26,29408,18,0.0,59
1003,825,2,36,30711,18,0.0,59
1003,825,3,48,29324,18,0.0,59
1003,845,1,3,30477,19,0.0,59
1003,845,2,45,34022,19,0.0,59
1004,1,1,14,29551,1,25.0,53
